epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,34162.7,0.55158,1.08491,0.86933,0.88046,0.84061,0.91114,0.80302,0.50671,1.09982,0.85214,7.12282e-05,7.12282e-05,7.12282e-05
86,34564.8,0.55278,1.0872,0.86877,0.8804,0.84138,0.9111,0.80301,0.50661,1.09948,0.85209,6.39518e-05,6.39518e-05,6.39518e-05
87,34967.4,0.55208,1.0871,0.86936,0.88007,0.84076,0.91111,0.80288,0.50655,1.09939,0.85204,5.71106e-05,5.71106e-05,5.71106e-05
88,35369.2,0.54947,1.08243,0.868,0.88181,0.84098,0.91125,0.80318,0.50633,1.09908,0.852,5.07115e-05,5.07115e-05,5.07115e-05
89,35770.4,0.55003,1.08288,0.86841,0.88071,0.84105,0.91131,0.80344,0.50624,1.09884,0.85197,4.47606e-05,4.47606e-05,4.47606e-05
90,36172.4,0.55089,1.0809,0.86885,0.88134,0.8407,0.91133,0.80361,0.50612,1.09864,0.85195,3.9264e-05,3.9264e-05,3.9264e-05
91,36571.8,0.5079,0.98273,0.85216,0.88217,0.84021,0.91135,0.80363,0.50615,1.09866,0.85194,3.4227e-05,3.4227e-05,3.4227e-05
92,36967.9,0.50065,0.96468,0.84937,0.8804,0.84185,0.91129,0.80356,0.50625,1.0991,0.85198,2.96546e-05,2.96546e-05,2.96546e-05
93,37365.1,0.49836,0.95729,0.84771,0.88067,0.84116,0.91113,0.80343,0.50622,1.09904,0.85195,2.55513e-05,2.55513e-05,2.55513e-05
94,37760.6,0.49621,0.9537,0.84807,0.88051,0.84192,0.91116,0.8037,0.50629,1.09898,0.85198,2.19212e-05,2.19212e-05,2.19212e-05
95,38157.8,0.49542,0.94664,0.84782,0.88069,0.84115,0.91106,0.80378,0.50642,1.09907,0.85198,1.87678e-05,1.87678e-05,1.87678e-05
96,38553.9,0.49499,0.94867,0.84715,0.88144,0.84094,0.91109,0.80371,0.50645,1.09913,0.85195,1.60943e-05,1.60943e-05,1.60943e-05
97,38951.1,0.49505,0.95059,0.84757,0.87938,0.84334,0.9111,0.80351,0.50663,1.0995,0.85198,1.39032e-05,1.39032e-05,1.39032e-05
98,39351,0.49341,0.94665,0.84744,0.87942,0.84332,0.91096,0.80318,0.50669,1.09935,0.85198,1.21968e-05,1.21968e-05,1.21968e-05
99,39748.4,0.49329,0.94354,0.84686,0.87845,0.84385,0.91087,0.80306,0.50678,1.09936,0.85196,1.09768e-05,1.09768e-05,1.09768e-05
100,40143.6,0.49296,0.94267,0.84652,0.88047,0.84215,0.91089,0.80304,0.50684,1.09985,0.85195,1.02443e-05,1.02443e-05,1.02443e-05
